NR_CANDIDATO,IDADE,N_Declarou,Menor10K,10kA100K,100kA1000K,Maior1000K,DS_GENERO_FEMININO,DS_GENERO_MASCULINO,DS_COR_RACA_AMARELA,DS_COR_RACA_BRANCA,DS_COR_RACA_INDï¿½GENA,DS_COR_RACA_Nï¿½O INFORMADO,DS_COR_RACA_PARDA,DS_COR_RACA_PRETA,DS_CARGO_DEPUTADO ESTADUAL,DS_CARGO_DEPUTADO FEDERAL,DS_ESTADO_CIVIL_CASADO(A),DS_ESTADO_CIVIL_DIVORCIADO(A),DS_ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE,DS_ESTADO_CIVIL_SOLTEIRO(A),DS_ESTADO_CIVIL_VIï¿½VO(A),QT_VOTOS
50018,63,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,171.0
13500,60,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,32.0
30022,63,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,6.0
11234,40,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,64.0
40369,53,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,6924.0
35100,33,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1.0
13789,39,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,17.0
19070,34,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0
40900,42,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,41.0
11444,68,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,5.0
77677,39,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,3.0
12580,47,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5.0
90755,24,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
10777,41,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,6.0
11111,66,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1318.0
11007,48,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0
14404,52,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1.0
19998,54,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
33017,39,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
19657,57,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,87.0
44999,45,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,3.0
11355,39,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
35890,55,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
77130,44,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
51777,50,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
15234,41,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4.0
22010,27,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,8.0
14345,38,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0
50456,38,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,34.0
51233,62,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
28031,48,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0
20123,47,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,31083.0
10123,52,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,54.0
44777,57,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,14.0
19666,45,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0
35211,43,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0
13000,39,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,380.0
44333,64,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,5.0
19910,39,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.0
90177,56,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0
18444,43,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,151.0
44100,72,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,3.0
90435,51,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
10107,55,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1.0
18244,42,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3.0
51789,52,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2.0
43120,82,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,9.0
44258,30,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1.0
40012,46,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1.0
27090,43,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,76.0
